file_id,frame_id,randolphs_kappa
7446,205934,0.979
7446,205935,0.977
7446,205936,0.976
7446,205937,0.976
7446,205938,0.976
7480,207460,0.968
7480,207461,0.971
7480,207462,0.971
7480,207463,0.973
7480,207464,0.97
7480,207465,0.97
7480,207466,0.971
7480,207467,0.969
7480,207468,0.967
7480,207469,0.969
7480,207470,0.965
7480,207471,0.971
7480,207472,0.965
7480,207473,0.973
7480,207474,0.968
7480,207475,0.969
7480,207476,0.971
7480,207477,0.972
7480,207478,0.964
7480,207479,0.967
7480,207480,0.972
7480,207481,0.967
7480,207482,0.97
7480,207483,0.97
7480,207484,0.971
7480,207485,0.972
7480,207486,0.971
7480,207487,0.97
7480,207488,0.968
7480,207489,0.969
7480,207490,0.967
7480,207491,0.969
7480,207492,0.969
7480,207493,0.969
7480,207494,0.967
7480,207495,0.968
7480,207496,0.97
7480,207497,0.972
7480,207498,0.97
7480,207499,0.968
7480,207500,0.971
7480,207501,0.971
7480,207502,0.968
7480,207503,0.972
7480,207504,0.969
7480,207505,0.967
7480,207506,0.97
7480,207507,0.972
7480,207508,0.971
7480,207509,0.973
7496,208103,0.961
7496,208104,0.963
7496,208105,0.962
7496,208106,0.966
7496,208107,0.964
7496,208108,0.967
7496,208109,0.961
7496,208110,0.964
7496,208111,0.964
7496,208112,0.965
7496,208113,0.969
7496,208114,0.965
7496,208115,0.968
7496,208116,0.965
7496,208117,0.971
7496,208118,0.97
7496,208119,0.966
7496,208120,0.964
7496,208121,0.965
7496,208122,0.966
7496,208123,0.97
7496,208124,0.969
7496,208125,0.966
7496,208126,0.97
7496,208127,0.968
7496,208128,0.968
7496,208129,0.965
7496,208130,0.962
7496,208131,0.965
7496,208132,0.957
7496,208133,0.965
7496,208134,0.964
7496,208135,0.965
7496,208136,0.964
7496,208137,0.964
7496,208138,0.965
7496,208139,0.963
7496,208140,0.964
7496,208141,0.964
7496,208142,0.966
7496,208143,0.965
7496,208144,0.962
7496,208145,0.961
7496,208146,0.968
7496,208147,0.966
7496,208148,0.959
7496,208149,0.964
7496,208150,0.964
7496,208151,0.962
7496,208152,0.963
29084,901782,1
29084,901783,1
29084,901784,1
29084,901785,1
29084,901786,1
29084,901787,0.894
29084,901788,0.903
29084,901789,0.759
29084,901790,0.752
29084,901791,0.728
29084,901792,0.737
29084,901793,0.768
29084,901794,0.789
29084,901795,0.807
29084,901796,0.833
29084,901797,0.873
29084,901798,0.896
29084,901799,0.922
29084,901800,0.939
29084,901801,0.855
29084,901802,0.848
29084,901803,0.823
29084,901804,0.779
29084,901805,0.767
29084,901806,0.728
29084,901807,0.7
29084,901808,0.665
29084,901809,0.654
29084,901810,0.656
29084,901811,0.665
29084,901812,0.662
29084,901813,0.668
29084,901814,0.641
29084,901815,0.648
29084,901816,0.646
29084,901817,0.643
29084,901818,0.648
29084,901819,0.656
29084,901820,0.662
29084,901821,0.652
29084,901822,0.673
29084,901823,0.655
29084,901824,0.657
29084,901825,0.673
29084,901826,0.665
29084,901827,0.666
29084,901828,0.668
29084,901829,0.671
29084,901830,0.675
31586,983429,0.772
31586,983430,0.754
31586,983431,0.75
31586,983432,0.745
31586,983433,0.739
31586,983434,0.724
31586,983435,0.731
31586,983436,0.727
31586,983437,0.726
31586,983438,0.735
31586,983439,0.713
31586,983440,0.747
31586,983441,0.738
31586,983442,0.746
31586,983443,0.75
31586,983444,0.759
31586,983445,0.763
31586,983446,0.759
31586,983447,0.768
31586,983448,0.772
31586,983449,0.769
31586,983450,0.765
31586,983451,0.773
31586,983452,0.771
31586,983453,0.769
31586,983454,0.764
31586,983455,0.773
31586,983456,0.763
31586,983457,0.755
31586,983458,0.741
31586,983459,0.747
31586,983460,0.715
31586,983461,0.713
31586,983462,0.716
31586,983463,0.712
31586,983464,0.714
31586,983465,0.707
31586,983466,0.708
31586,983467,0.708
31586,983468,0.708
31586,983469,0.715
31586,983470,0.719
31586,983471,0.712
31586,983472,0.709
31586,983473,0.71
31586,983474,0.718
31586,983475,0.711
31586,983476,0.719
31586,983477,0.708
35769,1097602,1
35769,1097603,1
35769,1097604,1
35769,1097605,1
35769,1097606,1
35769,1097607,1
35769,1097608,1
35769,1097609,1
35769,1097610,1
35769,1097611,1
35769,1097612,1
35769,1097613,1
35769,1097614,1
35769,1097615,1
35769,1097616,1
35769,1097617,1
35769,1097618,1
35769,1097619,1
35769,1097620,1
35769,1097621,1
35769,1097622,1
35769,1097623,1
35769,1097624,1
35769,1097625,1
35769,1097626,1
35769,1097627,1
35769,1097628,1
35769,1097629,1
35769,1097630,1
35769,1097631,1
35769,1097632,1
35769,1097633,0.936
35769,1097634,0.875
35769,1097635,0.824
35769,1097636,0.778
35769,1097637,0.737
35769,1097638,0.693
35769,1097639,0.902
35769,1097640,0.899
35769,1097641,0.904
35769,1097642,0.927
35769,1097643,0.954
35769,1097644,0.943
35769,1097645,0.956
35769,1097646,0.955
35769,1097647,0.946
35769,1097648,0.955
35769,1097649,0.955
35769,1097650,0.957
37143,1134089,0.668
37143,1134090,0.66
37143,1134091,0.654
37143,1134092,0.649
37143,1134093,0.645
37143,1134094,0.643
37143,1134095,0.643
37143,1134096,0.642
37143,1134097,0.647
37143,1134098,0.641
37143,1134099,0.631
37143,1134100,0.633
37143,1134101,0.623
37143,1134102,0.621
37143,1134103,0.63
37143,1134104,0.618
37143,1134105,0.619
37143,1134106,0.616
37143,1134107,0.611
37143,1134108,0.61
37143,1134109,0.606
37143,1134110,0.61
37143,1134111,0.617
37143,1134112,0.614
37143,1134113,0.616
37143,1134114,0.625
37143,1134115,0.626
37143,1134116,0.633
37143,1134117,0.628
37143,1134118,0.631
37143,1134119,0.633
37143,1134120,0.642
37143,1134121,0.655
37143,1134122,0.662
37143,1134123,0.66
37143,1134124,0.658
37143,1134125,0.66
37143,1134126,0.667
37143,1134127,0.669
37143,1134128,0.673
37143,1134129,0.673
37143,1134130,0.678
37143,1134131,0.676
44490,1348075,1
44490,1348076,1
44490,1348077,1
44490,1348078,1
44490,1348079,1
44490,1348080,1
44490,1348081,1
44490,1348082,1
44490,1348083,1
44490,1348084,1
44490,1348085,0.929
44490,1348086,0.932
44490,1348087,0.928
44490,1348088,0.929
44490,1348089,0.929
44490,1348090,0.923
44490,1348091,0.929
44490,1348092,1
44490,1348093,0.941
44490,1348094,0.915
44490,1348095,0.896
44490,1348096,0.875
44490,1348097,0.863
44490,1348098,0.838
44490,1348099,0.811
44490,1348100,0.816
44490,1348101,0.814
44490,1348102,0.803
44490,1348103,0.807
44490,1348104,0.811
44490,1348105,0.803
44490,1348106,0.813
44490,1348107,0.813
44490,1348108,0.825
44490,1348109,0.822
44490,1348110,0.831
44490,1348111,0.826
44490,1348112,0.835
44490,1348113,0.837
44490,1348114,0.827
44490,1348115,0.828
44490,1348116,0.834
44490,1348117,0.846
44490,1348118,0.851
44490,1348119,0.85
44490,1348120,0.845
44490,1348121,0.852
44490,1348122,0.853
44490,1348123,0.849
